Id,Name,GenreId,Bio,PictureUrl,SoundCloud,Spotify,Youtube
1,"Charlotte de Witte",18,"Charlotte de Witte is a Belgian techno DJ and producer, known for her dark, industrial, and acid techno sound. Active since the mid-2010s, she runs her own label, KNTXT.",charlotte-de-witte.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1371424411&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/1lJhME1ZpzsEa5M0wW6Mso?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/MuuWGXVLrPc?si=Fwk2Y7C3ktg_w_iN&amp;start=63" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
3,"Amelie Lens",19,"Amelie Lens is a Belgian techno DJ and producer, active since the mid-2010s. She plays hard-hitting techno and runs her own label, EXHALE Records. She is also associated with Drumcode and Second State.",amelie-lens.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/845221783&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/5Ho1vKl1Uz8bJlk4vbmvmf?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/GJkuTx1DQzg?si=B_DnQA0uIcNkhumB" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
4,"Dubfire ",4,"Dubfire is an Iranian-American DJ and producer, known for his minimal techno and deep techno sound. Active since the 1990s, he was part of Deep Dish before launching his solo career. He runs the label SCI+TEC.",dubfire.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1940853375&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/dubfire" title="Dubfire (Official)" target="_blank" style="color: #cccccc; text-decoration: none;">Dubfire (Official)</a> · <a href="https://soundcloud.com/dubfire/dubfire-b2b-luke-slater-oddity-club-athens-10062024" title="Dubfire B2B Luke Slater @ Oddity Club - Athens  10.06.2024" target="_blank" style="color: #cccccc; text-decoration: none;">Dubfire B2B Luke Slater @ Oddity Club - Athens  10.06.2024</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/3bVYqr2NfmwmL4YJisWhJI?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/6OyKIa2ODng?si=CgLh6oPV1ebfxe2O" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
5,"Frida Darko",14,"Frida Darko is a German DJ, producer, and vocalist based in Leipzig. Active since the 2010s, she is known for her dark disco, downtempo, and progressive slowrave sound. She has released music on labels like Tipping Point Music.",frida-darko.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1598646711&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/5nvhpnFpC7rsQ0mWDNx4bn?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/ROKAnOBQKwA?si=blnx1IUzhslbLZqB" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
6,"Damon Jee",14,"Damon Jee started his career in the early 90′s when he discovered electronic music and turned into Djing. He has performed in many clubs and festivals worldwide.",damon-jee.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/710551675&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/0nyA3iBk3cFZvBsQalv78d?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/eEsYJUTj68M?si=UmWTpHgz16PYlUPW" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
7,FJAAK,17,"FJAAK is a German electronic music duo from Berlin, known for their raw techno, house, and breakbeat sound. Active since the 2010s, they run their own label, SPANDAU20.







",fjaak.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/899318359&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/fjaak" title="FJAAK" target="_blank" style="color: #cccccc; text-decoration: none;">FJAAK</a> · <a href="https://soundcloud.com/fjaak/fjaak-its-time-again" title="FJAAK - It&#x27;s Time Again" target="_blank" style="color: #cccccc; text-decoration: none;">FJAAK - It&#x27;s Time Again</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/4qG1qjeHfkASTdyRGbLWbV?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/LwpF8CAcGQ8?si=uSHIUtKbDDjux4lg" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
8,"Indira Paganotto",16,"Indira Paganotto is a Spanish techno DJ and producer, known for her psytrance-influenced techno and hard techno sound. Active since the 2010s, she releases music on labels like KNTXT and her own label, ARTCORE.",indira-paganotto.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1608850050&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/0JXc5G7ZImFTwPg3y8MTfR?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/1PjTtj79UlM?si=3XGVJllsbyzfbPTf" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
9,"Stella Bossi",19,"KitKatClub and Burberry, Berlin Kreuzberg and Mercedes, underground Techno and headliner, unknown and mysterious but over one million followers all over her social networks. The Berlin female DJ is a provocative tomboy-species Techno Tapir and hermaphrodites. The silent solo dancer holds together what doesn't belong together. With her creative and remarkable stuff she entertains millions of people all around the world. ",stella-bossi.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1205431924&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/3mRoki0oqjOZy7pXCd2cSz?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/x0LaD19ujl4?si=311VsAAHnAmg-Uq-" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
10,"I Hate Models",19,"I Hate Models is a French techno DJ and producer, known for his industrial techno, acid techno, and emotional rave sound. Active since the mid-2010s, he has released music on labels like Perc Trax, Arts, and Dolma Records.",I-Hate-Models.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1274139916&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/0KqSULB80ft2H3aFg6kJmN?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/Kz9uoNiQJiI?si=7rOKVAsq1ohURML-" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>"
11,999999999,5,"999999999 is an Italian techno duo formed in 2016, known for their hard techno and acid techno music. They have released tracks on labels such as Planet Rhythm and their own label, NineTimesNine.",999999999.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1971985183&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/999999999music" title="999999999" target="_blank" style="color: #cccccc; text-decoration: none;">999999999</a> · <a href="https://soundcloud.com/999999999music/999999999-mixmag-x-burn-energy" title="999999999 - Mixmag x Burn Energy Tour Venice" target="_blank" style="color: #cccccc; text-decoration: none;">999999999 - Mixmag x Burn Energy Tour Venice</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/6uD2LjPHUjxrpax0se17Nc?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/5fE7c5mlioY?si=riRJArVKA9V29Tua" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
12,"Adam Beyer",18,"Adam Beyer is a Swedish techno DJ and producer, active since the mid-1990s. He is the founder of Drumcode Records, one of the most influential techno labels. His style includes techno, hard techno, and minimal techno.",adam-beyer.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/playlists/8751394&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/adambeyer" title="adambeyer" target="_blank" style="color: #cccccc; text-decoration: none;">adambeyer</a> · <a href="https://soundcloud.com/adambeyer/sets/drumcode-radio-live" title="Adam Beyer Presents Drumcode Radio Live" target="_blank" style="color: #cccccc; text-decoration: none;">Adam Beyer Presents Drumcode Radio Live</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/1btv9qmIpbp7q1ixCYNdHu?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/bvzYeWOCwNg?si=rlPUgz7O08wGmGUh" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
13,Alignment,19,"Alignment is an Italian techno DJ and producer known for his hard techno, acid techno, and melodic techno sound. He has released music on labels like KNTXT (Charlotte de Witte's label) and Voxnox Records.",alignment.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/669831068&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/novafuture" title="NovaFuture" target="_blank" style="color: #cccccc; text-decoration: none;">NovaFuture</a> · <a href="https://soundcloud.com/novafuture/alignment-can-you-hear-me-full-track" title="Alignment - Can You Hear Me [VNR038 | Premiere]" target="_blank" style="color: #cccccc; text-decoration: none;">Alignment - Can You Hear Me [VNR038 | Premiere]</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/4eFbq5PZgW7YbtA65PP4wS?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/cSnQSjmty8w?si=ghv35pCtthFzc90h" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
14,"Anfisa Letyago",2,"Anfisa Letyago is an Italian DJ and producer known for her techno, minimal, and melodic techno sound. Active since the 2010s, she has released tracks on labels like N:S:DA and Rekids.",anfisa-letyago.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1534996054&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/user-anfisaletyagomusic" title="Anfisa Letyago" target="_blank" style="color: #cccccc; text-decoration: none;">Anfisa Letyago</a> · <a href="https://soundcloud.com/user-anfisaletyagomusic/anfisa-letyago-live-awakenings-spring-festival-2023" title="Anfisa Letyago live @ Awakenings Spring Festival 2023" target="_blank" style="color: #cccccc; text-decoration: none;">Anfisa Letyago live @ Awakenings Spring Festival 2023</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/7icoOm5fKKPo49jVxoj1Cq?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/tDIAtgKcHC8?si=Z_zy2JSIxMU_rcbv" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
15,ARTBAT,10,"ARTBAT is a Ukrainian electronic music duo known for their melodic techno and progressive house sound. Active since the mid-2010s, they have released music on labels like Afterlife, Upperground, and Diynamic.",artbat.jpg,"<iframe width="100%" height="300" scrolling="no" frameborder="no" allow="autoplay" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1988856791&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true"></iframe><div style="font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;"><a href="https://soundcloud.com/artbatmusic" title="ARTBAT" target="_blank" style="color: #cccccc; text-decoration: none;">ARTBAT</a> · <a href="https://soundcloud.com/artbatmusic/artbat-vintage-culture-she-the-last-one-out" title="ARTBAT &amp; Vintage Culture - She The Last One" target="_blank" style="color: #cccccc; text-decoration: none;">ARTBAT &amp; Vintage Culture - She The Last One</a></div>","<iframe style="border-radius:12px" src="https://open.spotify.com/embed/artist/3BkRu2TGd2I1uBxZKddfg1?utm_source=generator" width="100%" height="352" frameBorder="0" allowfullscreen="" allow="autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture" loading="lazy"></iframe>","<iframe width="560" height="315" src="https://www.youtube.com/embed/hENgrbIMiy4?si=9m9l0ANzevm2t9Dg" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" referrerpolicy="strict-origin-when-cross-origin" allowfullscreen></iframe>"
